0,1,2,3,4,5,6
0.34759,-0.99069,0.98147,1,1,1,1
-1.553,-0.20382,0.041544,1,1,1,1
2.4062,-0.047331,0.0022402,1,2,1,1
0.071151,-1.3569,1.8412,2,1,1,1
-0.033957,0.84468,0.71349,1,1,1,1
-1.688,-0.67602,0.45701,2,2,1,1
-2.2001,-0.3095,0.095791,2,2,1,1
-1.829,-1.4621,2.1378,2,2,1,1
-2.1921,-0.20383,0.041548,1,2,1,1
-1.749,0.05823,0.0033908,1,1,1,1
0.24666,-0.83362,0.69492,1,1,1,1
-1.1715,-0.72796,0.52992,1,2,1,1
-0.35467,-0.20378,0.041527,2,1,1,1
-1.7718,0.057813,0.0033423,1,1,1,1
-0.095966,-0.56937,0.32418,2,1,1,1
1.2264,-0.41282,0.17042,1,2,1,1
-0.26487,0.058585,0.0034322,2,1,1,1
-0.06887,-0.93846,0.88071,1,1,1,1
-0.44549,0.42524,0.18083,1,1,1,1
0.24436,0.73911,0.54629,2,1,1,1
1.8665,0.16411,0.026931,2,1,1,1
-1.8328,-0.51863,0.26898,1,2,1,1
-1.3059,-0.72818,0.53024,1,2,1,1
0.78,-0.67579,0.45669,1,1,1,1
-1.6291,-0.67547,0.45626,2,1,1,1
-0.65698,0.21587,0.0466,1,1,1,1
0.83555,-0.46607,0.21722,1,2,1,1
0.36278,-0.30902,0.095495,1,1,1,1
-0.26357,-0.51864,0.26899,2,2,1,1
-1.1096,-0.93761,0.87912,2,2,1,1
0.82185,-0.6233,0.3885,1,2,1,1
1.3155,-0.72766,0.52949,1,1,1,1
0.73056,-0.72856,0.53079,1,2,1,1
1.2696,-0.88535,0.78384,1,2,1,1
2.3554,0.47723,0.22775,2,1,1,1
-0.56361,0.16309,0.026597,1,2,1,1
-0.12417,-0.30917,0.095588,2,2,1,1
-2.7253,-0.15095,0.022786,1,2,1,1
0.069381,-0.93783,0.87953,2,1,1,1
0.79933,0.42521,0.1808,2,1,1,1
2.1094,-0.15096,0.022788,1,1,1,1
1.8693,-0.20389,0.04157,1,1,1,1
0.2739,-0.3611,0.1304,1,1,1,1
-1.7085,0.37323,0.1393,1,1,1,1
-0.29752,0.11079,0.012275,2,1,1,1
-0.31757,0.6365,0.40514,1,2,1,1
-0.55707,1.6837,2.835,1,1,1,1
-0.1259,-1.0961,1.2014,1,2,1,1
1.2866,-0.78115,0.6102,2,1,1,1
-2.0845,-0.93805,0.87995,2,1,1,1
-0.70068,-0.57086,0.32588,2,2,1,1
-0.20027,1.4212,2.0197,1,1,1,1
-3.5546,-0.62307,0.38821,1,2,1,1
0.70833,-0.41414,0.17151,2,2,1,1
-2.4388,1.054,1.1109,1,1,1,1
0.68993,-0.14967,0.022402,1,2,1,1
1.4805,-0.41326,0.17079,1,1,1,1
0.76266,-0.36076,0.13015,1,1,1,1
-0.54068,-0.46626,0.2174,1,2,1,1
-1.79,-1.5667,2.4546,2,1,1,1
2.5615,-0.46663,0.21774,1,1,1,1
-1.6926,-0.99058,0.98126,2,1,1,1
-1.4069,-0.83273,0.69344,2,1,1,1
-1.4161,-0.46786,0.21889,1,1,1,1
-1.9092,1.5263,2.3296,1,1,1,1
-2.766,-0.93646,0.87696,2,1,1,1
-2.6147,0.0067577,4.5666e-05,2,1,1,1
0.9694,-0.20545,0.04221,1,2,1,1
0.19893,-0.93859,0.88095,1,1,1,1
-0.93183,-0.72851,0.53073,1,1,1,1
-1.1634,-0.6725,0.45226,2,1,1,1
-3.3449,-0.15201,0.023107,1,1,1,1
-0.51402,-0.46631,0.21744,1,2,1,1
-1.9654,0.7394,0.54672,2,1,1,1
-0.90375,-0.676,0.45698,1,2,1,1
0.048966,-0.51931,0.26968,2,2,1,1
0.81908,-0.25618,0.065626,1,2,1,1
-0.85818,-1.3049,1.7028,2,2,1,1
-1.8677,-1.4092,1.9859,2,1,1,1
0.91224,-0.30894,0.095444,2,2,1,1
0.038964,-0.62268,0.38773,2,2,1,1
0.46694,0.3723,0.1386,1,2,1,1
-0.44376,-0.36086,0.13022,1,2,1,1
-2.0379,-0.51878,0.26913,1,1,1,1
-0.2889,-0.93798,0.8798,2,1,1,1
-0.2702,-1.0425,1.0867,2,2,1,1
1.6952,-1.2524,1.5686,1,2,1,1
-1.4169,-0.25626,0.065671,1,2,1,1
0.20998,0.058136,0.0033798,2,1,1,1
-1.0197,-0.62142,0.38617,1,2,1,1
-0.12997,0.16244,0.026388,1,2,1,1
-2.387,-0.46646,0.21759,1,2,1,1
-2.4073,4.5674,20.861,1,1,1,1
-1.9897,-1.0952,1.1995,1,2,1,1
-1.788,-0.62375,0.38907,1,1,1,1
-0.52861,0.37313,0.13923,1,1,1,1
0.92938,-1.5669,2.455,2,2,1,1
-2.4302,-0.20192,0.040773,1,1,1,1
-0.33758,-0.099664,0.0099328,1,1,1,1
0.94039,-0.25596,0.065514,1,1,1,1
-1.7046,0.26814,0.071898,1,2,1,1
-1.2593,-0.15164,0.022994,1,2,1,1
-1.9861,-0.62411,0.38951,2,1,1,1
1.2193,0.21507,0.046256,2,1,1,1
-0.59589,-0.30944,0.095753,2,1,1,1
-0.72916,0.060105,0.0036126,2,2,1,1
-0.048024,0.52964,0.28052,1,2,1,1
-1.7921,0.37355,0.13954,2,1,1,1
-1.1035,-0.20423,0.041711,2,2,1,1
0.95041,-0.51859,0.26893,1,2,1,1
0.040396,-0.67488,0.45547,2,2,1,1
-0.82448,0.26769,0.071659,2,1,1,1
-1.3003,0.058401,0.0034107,2,2,1,1
0.12351,-0.308,0.094865,1,2,1,1
-0.42422,0.21616,0.046726,2,2,1,1
-0.68713,-0.83339,0.69453,1,1,1,1
-1.346,-0.30925,0.095636,1,1,1,1
-1.8658,-0.098555,0.0097132,1,2,1,1
-1.0991,-0.46557,0.21675,1,1,1,1
-2.0009,0.37301,0.13914,1,1,1,1
0.36755,0.53021,0.28112,1,2,1,1
-1.8509,-0.72847,0.53067,1,2,1,1
-0.70445,0.26881,0.072258,1,1,1,1
-0.242,-0.72868,0.53097,2,1,1,1
-1.1494,1.2646,1.5993,1,1,1,1
0.67273,-0.30844,0.095134,1,1,1,1
0.9747,-0.09895,0.0097911,1,2,1,1
-2.1852,-0.25581,0.065438,1,2,1,1
-1.2072,1.1067,1.2248,2,1,1,1
0.77219,0.26757,0.071594,2,2,1,1
0.58145,-1.3575,1.8428,2,2,1,1
-0.3149,-0.8851,0.78341,2,2,1,1
-0.22467,-0.2566,0.065845,1,1,1,1
-0.15318,-0.62384,0.38917,2,2,1,1
1.5801,-1.043,1.0879,2,2,1,1
-0.51563,-0.78108,0.61008,2,2,1,1
-1.9594,-0.51871,0.26906,1,1,1,1
0.1452,-0.93853,0.88084,1,2,1,1
0.57294,0.42539,0.18096,1,2,1,1
-0.034714,-1.2534,1.571,2,2,1,1
-0.21304,-0.67627,0.45734,1,2,1,1
-0.22416,-0.41398,0.17138,2,1,1,1
-0.54263,-0.57108,0.32614,2,2,1,1
2.609,1.3692,1.8746,1,1,1,1
-2.331,0.058578,0.0034314,1,1,1,1
-1.2449,1.3688,1.8736,1,1,1,1
-1.4147,-0.30907,0.095526,2,1,1,1
-0.66633,-0.93718,0.8783,1,2,1,1
-2.7016,0.89604,0.80288,2,2,1,1
-1.3256,0.32045,0.10269,1,1,1,1
0.74398,4.3576,18.988,1,1,1,1
0.36082,1.5787,2.4922,1,1,1,1
-1.7468,0.0058138,3.38e-05,2,2,1,1
-0.010922,-0.045909,0.0021076,2,2,1,1
-1.2354,-1.0433,1.0885,2,2,1,1
-1.1868,-1.304,1.7004,1,2,1,1
0.39557,-1.2531,1.5702,2,1,1,1
1.3968,-0.83338,0.69452,2,1,1,1
0.16667,0.42531,0.18088,1,2,1,1
1.9391,1.7359,3.0132,2,1,1,1
-1.6774,-1.3568,1.841,2,2,1,1
1.5303,-0.83267,0.69334,1,2,1,1
1.1904,-0.25644,0.065764,2,1,1,1
-1.9729,-0.098136,0.0096308,1,1,1,1
0.69376,-0.46618,0.21733,2,2,1,1
-0.039084,-0.67561,0.45646,2,1,1,1
-0.45213,0.26782,0.071725,2,1,1,1
-1.1843,-0.25641,0.065746,2,1,1,1
-0.93187,-0.20394,0.04159,1,1,1,1
-0.92051,-0.25665,0.065868,2,1,1,1
-0.96886,1.1068,1.2251,1,1,1,1
-0.15967,-0.78041,0.60905,2,2,1,1
-0.37075,-0.098516,0.0097055,2,2,1,1
1.7747,-0.20241,0.040969,1,2,1,1
-0.32332,-0.93702,0.878,2,2,1,1
0.60398,-0.046515,0.0021637,2,2,1,1
-2.9671,-0.62292,0.38803,1,2,1,1
0.75194,-0.098888,0.0097789,1,2,1,1
-2.1556,-0.6758,0.45671,1,2,1,1
-1.7184,0.16333,0.026678,2,1,1,1
-0.80936,0.53035,0.28127,2,1,1,1
0.748,0.11069,0.012252,2,1,1,1
0.36202,-0.46587,0.21704,1,2,1,1
-0.046443,-0.36105,0.13036,2,2,1,1
-0.85339,-0.15182,0.023049,2,2,1,1
0.65589,-0.5186,0.26894,2,1,1,1
-1.4492,-0.78082,0.60968,1,2,1,1
1.9692,0.42431,0.18004,1,2,1,1
-0.65398,-0.20359,0.04145,2,2,1,1
-1.3214,-0.57122,0.32629,2,2,1,1
-1.069,-0.67619,0.45724,2,2,1,1
-1.0564,-0.83357,0.69485,1,2,1,1
-1.7546,-0.8328,0.69356,2,2,1,1
-0.80049,-0.46636,0.21749,2,2,1,1
-0.16223,-0.78046,0.60912,2,2,1,1
0.41705,0.16252,0.026412,1,2,1,1
-1.337,0.11077,0.012269,2,1,1,1
-1.8698,-0.46598,0.21713,2,2,1,1
-0.29688,-1.3574,1.8425,2,2,1,1
0.13464,0.16332,0.026675,2,1,1,1
0.86566,0.11046,0.012202,2,1,1,1
1.1741,-0.5708,0.32581,1,2,1,1
1.6154,-0.14973,0.02242,1,2,1,1
0.44156,-0.46574,0.21692,2,1,1,1
