0,1,2,3,4,5,6
1.0954,-0.15029,0.022586,2,2,1,1
-0.42183,-0.51806,0.26839,2,2,1,1
-0.58313,-0.93916,0.88202,2,1,1,2
-1.981,0.16301,0.026573,1,1,1,1
-0.60697,-1.2001,1.4401,2,2,1,2
-0.1678,0.0064148,4.1149e-05,2,1,1,2
-0.42936,-0.57119,0.32626,2,2,1,2
0.37841,-1.2525,1.5688,1,2,1,1
1.6929,1.1595,1.3444,1,2,1,1
1.6943,-0.20358,0.041444,2,2,1,1
-0.63244,-0.78041,0.60905,2,1,1,1
-1.6896,2.6275,6.9039,1,2,1,2
1.1579,-0.88581,0.78466,1,2,1,1
-0.56655,2.4711,6.1061,2,1,1,2
-0.44975,-1.0956,1.2003,1,1,1,1
0.59058,-1.0943,1.1974,2,1,1,2
0.28028,1.3688,1.8737,1,1,1,2
0.14494,0.11043,0.012194,1,2,1,2
0.83242,-0.36145,0.13064,1,2,1,2
0.42029,1.2118,1.4684,2,2,1,2
-0.81175,-0.67537,0.45613,2,2,1,1
-0.22944,-0.2563,0.065687,1,1,1,2
-0.59163,-0.99083,0.98174,2,2,1,2
0.57654,0.16306,0.026589,2,1,1,2
1.5601,-0.25511,0.065083,1,2,1,1
0.81678,0.53068,0.28162,1,1,1,1
1.5835,-0.46636,0.2175,2,2,1,2
-0.47163,-0.30829,0.095045,2,1,1,1
1.0652,1.3165,1.7332,1,1,1,1
-1.2727,2.0507,4.2053,1,1,1,1
-0.66392,-0.99083,0.98174,1,1,1,2
0.22777,-0.78071,0.60951,2,1,1,1
0.36288,-0.51771,0.26803,1,2,1,2
0.85394,-1.1997,1.4392,2,1,1,1
0.42386,-0.51792,0.26824,2,1,1,1
0.18999,0.057988,0.0033626,2,1,1,1
1.0497,-0.46514,0.21636,2,2,1,2
0.36626,-0.99083,0.98175,1,2,1,2
1.3202,-0.67603,0.45702,2,2,1,1
0.56527,0.52978,0.28066,1,1,1,1
-0.26431,-0.30868,0.095282,2,1,1,2
-0.74512,1.6312,2.6607,1,1,1,2
2.2503,2.1032,4.4233,1,1,1,2
-0.93744,-0.15144,0.022933,2,2,1,2
0.86023,-0.62325,0.38844,2,2,1,1
0.84479,-0.62367,0.38897,2,2,1,1
0.19102,1.4211,2.0195,1,1,1,1
1.0667,-1.0944,1.1978,2,2,1,2
1.2785,-0.51849,0.26883,1,2,1,1
-0.64721,-0.7274,0.52911,1,2,1,2
0.51773,-1.2006,1.4413,1,2,1,1
0.89871,-1.0954,1.1998,2,2,1,2
1.1142,-0.67637,0.45747,2,1,1,2
-0.055481,-1.2526,1.5689,2,1,1,1
-0.45284,0.163,0.026569,1,1,1,1
0.87233,-0.25618,0.065627,1,2,1,1
-1.2686,-0.25682,0.065958,2,1,1,2
0.77245,-0.93739,0.87869,1,2,1,1
-1.4699,-0.88554,0.78418,1,1,1,2
-1.3751,1.6842,2.8365,1,2,1,2
